"","mn","yr","st","typ","SO2","NO2","PM10","SPM"
"1","Apr","2011","Pritampura","rsd",4,38,109,NA
"2","Jul","2011","Pritampura","rsd",4,44,331,NA
"3","Dec","2011","Pritampura","rsd",5,52,193,NA
"4","Jan","2011","Pritampura","rsd",5,43,264,NA
"5","Jan","2011","Pritampura","rsd",5,41,225,NA
"6","Jan","2011","Pritampura","rsd",4,46,195,NA
"7","Jan","2011","Pritampura","rsd",4,44,196,NA
"8","Apr","2011","Pritampura","rsd",4,36,292,NA
"9","Sep","2011","Pritampura","rsd",4,36,166,NA
"10","Feb","2011","Pritampura","rsd",4,33,150,NA
"11","Feb","2011","Pritampura","rsd",4,34,251,NA
"12","Feb","2011","Pritampura","rsd",4,41,291,NA
"13","Jan","2011","Pritampura","rsd",4,33,156,NA
"14","Jul","2011","Pritampura","rsd",4,48,114,NA
"15","Oct","2011","Pritampura","rsd",4,35,147,NA
"16","Mar","2011","Pritampura","rsd",4,41,127,NA
"17","Mar","2011","Pritampura","rsd",4,51,254,NA
"18","Mar","2011","Pritampura","rsd",4,54,314,NA
"19","Mar","2011","Pritampura","rsd",4,52,206,NA
"20","Jan","2011","Pritampura","rsd",4,39,215,NA
"21","Jun","2011","Pritampura","rsd",4,48,251,NA
"22","Nov","2011","Pritampura","rsd",4,48,343,NA
"23","Apr","2011","Pritampura","rsd",4,36,164,NA
"24","Apr","2011","Pritampura","rsd",4,44,208,NA
"25","Apr","2011","Pritampura","rsd",4,38,276,NA
"26","Mar","2011","Pritampura","rsd",4,38,296,NA
"27","Jun","2011","Pritampura","rsd",4,36,209,NA
"28","Nov","2011","Pritampura","rsd",4,35,220,NA
"29","May","2011","Pritampura","rsd",4,39,NA,NA
"30","May","2011","Pritampura","rsd",4,40,257,NA
"31","May","2011","Pritampura","rsd",4,38,265,NA
"32","May","2011","Pritampura","rsd",4,38,160,NA
"33","Mar","2011","Pritampura","rsd",4,35,167,NA
"34","Aug","2011","Pritampura","rsd",4,37,156,NA
"35","Jun","2011","Pritampura","rsd",4,34,182,NA
"36","Jun","2011","Pritampura","rsd",4,36,416,NA
"37","Jun","2011","Pritampura","rsd",4,36,128,NA
"38","Jun","2011","Pritampura","rsd",4,32,121,NA
"39","Jun","2011","Pritampura","rsd",4,35,146,NA
"40","May","2011","Pritampura","rsd",4,31,203,NA
"41","Aug","2011","Pritampura","rsd",4,42,122,NA
"42","Jul","2011","Pritampura","rsd",4,37,135,NA
"43","Jul","2011","Pritampura","rsd",4,38,252,NA
