"","cf","se","mAdj","cilb","ciub"
"mn",22.0300117797015,4.06399610040804,218.669782291176,210.70304256511,226.636522017242
"mn",2.08388979262682,4.04467063124651,198.723660304101,190.794804714508,206.652515893694
"mn",-4.82197462084226,3.79204854927061,191.817795890632,184.384160849099,199.251430932165
"mn",13.997221733411,3.9981752775901,210.636992244885,202.799282505805,218.474701983966
"mn",2.10773212451382,3.84821480515857,198.747502635988,191.203763664483,206.291241607494
"mn",-21.8942075031134,4.159271498685,174.745563008361,166.592052852005,182.899073164717
"mn",-51.3306989796639,3.90942189327389,145.309071531811,137.645346977554,152.972796086067
"mn",-57.8323715682762,3.96983087496037,138.807398943198,131.025253351539,146.589544534858
"mn",-50.5346219918119,4.06557455523208,146.105148519663,138.135314514359,154.074982524966
"mn",31.7721413822221,3.93788178782455,228.411911893697,220.692396790701,236.131426996692
"mn",52.5567380749509,4.08611533450154,249.196508586425,241.186408045878,257.206609126973
"",68.798213043973,4.13945388030136,265.437983555447,257.323322306362,273.552644804533
"yr",-62.3792812449252,6.04170244470999,134.260489266549,122.416808886415,146.104169646683
"yr",-51.6582356353717,4.83240491618012,144.981534876103,135.508466677463,154.454603074742
"yr",-56.3881418702774,3.76906731717691,140.251628641197,132.863044207527,147.640213074867
"yr",-30.655377976259,4.21656210167194,165.984392535216,157.718574366876,174.250210703555
"yr",-21.1461712726803,4.12478011511886,175.493599238794,167.407703289951,183.579495187638
"yr",17.6021744832232,3.58095837147468,214.241944994698,207.222114608406,221.26177538099
"yr",57.5300679382345,3.5994487227415,254.169838449709,247.113761026671,261.225915872747
"yr",26.6220828465737,3.46282305696733,223.261853358048,216.47360619179,230.050100524307
"yr",28.9425747498767,5.9389734297867,225.582345261351,213.940046797929,237.224643724773
"yr",18.1914703932029,6.11969469827643,214.831240904677,202.834670617796,226.827811191559
"yr",18.3217679399518,3.48825917982343,214.961538451426,208.123428301684,221.799648601169
"",23.1092576087778,3.44240556771824,219.749028120252,213.000805801137,226.497250439368
"st",-12.2532552370814,7.3289715091094,184.386515274393,170.019373419368,198.753657129418
"st",39.9123773729256,12.9511246397501,236.5521478844,211.163777271944,261.940518496856
"st",-0.919678348328065,5.45285801284924,195.720092163146,185.030736298065,206.409448028228
"st",44.3477212309446,8.22422793093952,240.987491742419,224.865359300643,257.109624184195
"st",-37.2555799877726,5.11787511547014,159.384190523702,149.351508899975,169.416872147429
"st",-15.04484218896,4.66679547443749,181.594928322514,172.446507905503,190.743348739526
"st",-17.7888865134855,5.88343444252825,178.850883997989,167.317459816236,190.384308179742
"st",-5.00384295902958,8.08803622594229,191.635927552445,175.780774664722,207.491080440167
"st",-6.89665593160074,8.11848915406602,189.743114579874,173.828264156459,205.657965003289
"st",-8.8846663981484,5.50554114455999,187.755104113326,176.962472362165,198.547735864487
"",30.4515816532398,5.04792431535324,227.091352164714,217.195796612074,236.986907717354
"",8.70654272284385,7.36528210747913,205.346313234318,190.907990925532,219.784635543104
"",-4.75820335305449,4.02519244843905,191.88156715842,183.990895073173,199.772239243666
