"","cf","se","mAdj","cilb","ciub"
"mn",1.43960988451595,7.84446803518669,379.854451733665,364.475776635878,395.233126831451
"mn",-18.2550653362952,7.92672061840364,360.159776512853,344.619849466869,375.699703558838
"mn",-12.8093768569267,7.24549005247183,365.605464992222,351.401055344378,379.809874640066
"mn",60.1833852383819,7.83565742023702,438.598227087531,423.23682474605,453.959629429011
"mn",37.5271399696218,7.44925439842534,415.94198181877,401.338102677409,430.545860960132
"mn",-14.9829523284019,7.86505444304565,363.431889520747,348.012855831852,378.850923209642
"mn",-63.9970858160569,7.5969405289398,314.417756033092,299.524345848013,329.31116621817
"mn",-86.9423747492169,7.55705949082775,291.472467099932,276.657241633681,306.287692566182
"mn",-73.3167606857974,7.81804677933107,305.098081163351,289.771203575307,320.424958751395
"mn",63.2822875462536,7.52439207437875,441.697129395402,426.945946714666,456.448312076138
"mn",62.5133235215603,8.01708150809786,440.928165370709,425.211090459768,456.64524028165
"mn",62.86800305615,8.6935572340666,441.282844905299,424.239574214791,458.326115595807
"",3.15846328374405,60.2398692103085,381.573305132893,263.476147701305,499.67046256448
"yr",-2.75757094523246,16.0487815911438,375.657270903916,344.194462119628,407.120079688205
"yr",-6.7824000872977,16.6959952543516,371.632441761851,338.900803963195,404.364079560507
"yr",-25.3696593668515,17.0967505700281,353.045182482297,319.52788455145,386.562480413145
"yr",-13.840737171238,6.47527233316635,364.574104677911,351.879667153941,377.26854220188
"yr",-6.86100627223767,8.27471974772742,371.553835576911,355.331674181806,387.775996972016
"yr",-37.430585705434,6.23020218335056,340.984256143715,328.770266011879,353.19824627555
"yr",44.0589613714903,6.74776670966101,422.473803220639,409.24515452221,435.702451919068
"yr",12.0384914335753,6.4665590840179,390.453333282724,377.775977634428,403.13068893102
"yr",45.1784539998213,5.82398517096352,423.59329584897,412.175673224105,435.010918473835
"yr",100.763527515117,5.82649319556036,479.178369364266,467.755829886501,490.600908842031
"",-246.452522611609,8.48548697072719,131.96231923754,115.326959569558,148.597678905522
"st",-33.2961817950191,11.0437196034945,345.118660054129,323.468017220047,366.769302888211
"st",72.1891298859846,21.273147161361,450.603971735133,408.89906363499,492.308879835277
"st",-45.5330856084131,8.49008306882888,332.881756240735,316.237386159415,349.526126322056
"st",128.279471390762,12.0614920870216,506.69431323991,483.048379931392,530.340246548429
"st",-40.7028306988798,9.46320852055345,337.712011150269,319.15987879822,356.264143502317
"st",-46.0533871172281,6.85511571416449,332.36145473192,318.922353845412,345.800555618429
"st",-51.9425360561964,10.6582133876078,326.472305792952,305.577428017215,347.367183568689
"st",0.576600206606439,11.7897144589317,378.991442055755,355.878314773406,402.104569338104
"st",3.30863050082007,11.8127660694829,381.723472349969,358.565153573747,404.88179112619
"st",-53.799418280915,8.41376368020268,324.615423568233,308.120673713049,341.110173423418
"",116.535126043759,9.13626507284563,494.949967892908,477.038791311868,512.861144473947
"",-12.1331057936008,9.74955482715302,366.281736055548,347.168236534318,385.395235576778
"",6.96695094883057,5.59829209513192,385.381792797979,374.406629810845,396.356955785114
